cd E:/MLV_of_DPRAM/uvm
# UVM_INFO DRV.sv(27) @ 90: uvm_test_top.env.agent1.drv [DRV TRANSACTIONS] inf.data0_in= 33,inf.add0=60, inf.wr0=0
# UVM_INFO COV.sv(31) @ 95: uvm_test_top.env.cov [SEQ] SEQUENCE TRANSACTIONS
# UVM_INFO SB.sv(42) @ 95: uvm_test_top.env.sb [SB MATCHED] DATA pkt.data0_in=201,pkt1.data1_out=201
# UVM_INFO SB.sv(29) @ 95: uvm_test_top.env.sb [SB] TRANSACTIONS FROM MON1
# sb data_in=201,add=41
# UVM_INFO SB.sv(32) @ 95: uvm_test_top.env.sb [SB] TRANSACTIONS FROM MON2
# sb data_out=201,add=41
# UVM_INFO DRV.sv(39) @ 100: uvm_test_top.env.agent1.drv [DRV] DRV TRANSACTION TO DUT
# UVM_INFO MON1.sv(31) @ 105: uvm_test_top.env.agent1.mon1 [MON1] MON1 TRANSACTIONS
# UVM_INFO MON1.sv(33) @ 105: uvm_test_top.env.agent1.mon1 [MON] MON TRANSACTIONS
# UVM_INFO MON2.sv(32) @ 105: uvm_test_top.env.agent2.mon2 [MON2] MON2 TRANSACTIONS
# UVM_INFO MON2.sv(35) @ 105: uvm_test_top.env.agent2.mon2 [MON] MON TRANSACTIONS
# -------------------------------------------------------------------------------------
# Name                           Type           Size  Value                            
# -------------------------------------------------------------------------------------
# pkt                            dram_seq_item  -     @840                             
#   begin_time                   time           64    105                              
#   end_time                     time           64    100                              
#   depth                        int            32    'd2                              
#   parent sequence (name)       string         3     seq                              
#   parent sequence (full name)  string         33    uvm_test_top.env.agent1.seqr1.seq
#   sequencer                    string         29    uvm_test_top.env.agent1.seqr1    
# -------------------------------------------------------------------------------------
# UVM_INFO DRV.sv(32) @ 110: uvm_test_top.env.agent1.drv [DRV TRANSACTIONS] inf.add1=60, inf.wr1=1
# UVM_INFO COV.sv(31) @ 115: uvm_test_top.env.cov [SEQ] SEQUENCE TRANSACTIONS
# UVM_INFO SB.sv(42) @ 115: uvm_test_top.env.sb [SB MATCHED] DATA pkt.data0_in=201,pkt1.data1_out=201
# UVM_INFO SB.sv(29) @ 115: uvm_test_top.env.sb [SB] TRANSACTIONS FROM MON1
# sb data_in= 33,add=60
# UVM_INFO SB.sv(32) @ 115: uvm_test_top.env.sb [SB] TRANSACTIONS FROM MON2
# sb data_out=201,add=41
# UVM_INFO DRV.sv(39) @ 120: uvm_test_top.env.agent1.drv [DRV] DRV TRANSACTION TO DUT
# UVM_INFO SEQ.sv(46) @ 120: uvm_test_top.env.agent1.seqr1@@seq [SEQ] SEQUENCE TRANSACTIONS
# UVM_INFO MON1.sv(31) @ 125: uvm_test_top.env.agent1.mon1 [MON1] MON1 TRANSACTIONS
# UVM_INFO MON1.sv(33) @ 125: uvm_test_top.env.agent1.mon1 [MON] MON TRANSACTIONS
# UVM_INFO MON2.sv(32) @ 125: uvm_test_top.env.agent2.mon2 [MON2] MON2 TRANSACTIONS
# UVM_INFO MON2.sv(35) @ 125: uvm_test_top.env.agent2.mon2 [MON] MON TRANSACTIONS
# -------------------------------------------------------------------------------------
# Name                           Type           Size  Value                            
# -------------------------------------------------------------------------------------
# pkt                            dram_seq_item  -     @840                             
#   begin_time                   time           64    125                              
#   end_time                     time           64    120                              
#   depth                        int            32    'd2                              
#   parent sequence (name)       string         3     seq                              
#   parent sequence (full name)  string         33    uvm_test_top.env.agent1.seqr1.seq
#   sequencer                    string         29    uvm_test_top.env.agent1.seqr1    
# -------------------------------------------------------------------------------------
# UVM_INFO DRV.sv(27) @ 130: uvm_test_top.env.agent1.drv [DRV TRANSACTIONS] inf.data0_in= 31,inf.add0=56, inf.wr0=0
# UVM_INFO COV.sv(31) @ 135: uvm_test_top.env.cov [SEQ] SEQUENCE TRANSACTIONS
# UVM_INFO SB.sv(42) @ 135: uvm_test_top.env.sb [SB MATCHED] DATA pkt.data0_in= 33,pkt1.data1_out= 33
# UVM_INFO SB.sv(29) @ 135: uvm_test_top.env.sb [SB] TRANSACTIONS FROM MON1
# sb data_in= 33,add=60
# UVM_INFO SB.sv(32) @ 135: uvm_test_top.env.sb [SB] TRANSACTIONS FROM MON2
# sb data_out= 33,add=60
# UVM_INFO DRV.sv(39) @ 140: uvm_test_top.env.agent1.drv [DRV] DRV TRANSACTION TO DUT
# UVM_INFO MON1.sv(31) @ 145: uvm_test_top.env.agent1.mon1 [MON1] MON1 TRANSACTIONS
# UVM_INFO MON1.sv(33) @ 145: uvm_test_top.env.agent1.mon1 [MON] MON TRANSACTIONS
# UVM_INFO MON2.sv(32) @ 145: uvm_test_top.env.agent2.mon2 [MON2] MON2 TRANSACTIONS
# UVM_INFO MON2.sv(35) @ 145: uvm_test_top.env.agent2.mon2 [MON] MON TRANSACTIONS
# -------------------------------------------------------------------------------------
# Name                           Type           Size  Value                            
# -------------------------------------------------------------------------------------
# pkt                            dram_seq_item  -     @840                             
#   begin_time                   time           64    145                              
#   end_time                     time           64    140                              
#   depth                        int            32    'd2                              
#   parent sequence (name)       string         3     seq                              
#   parent sequence (full name)  string         33    uvm_test_top.env.agent1.seqr1.seq
#   sequencer                    string         29    uvm_test_top.env.agent1.seqr1    
# -------------------------------------------------------------------------------------
# UVM_INFO DRV.sv(32) @ 150: uvm_test_top.env.agent1.drv [DRV TRANSACTIONS] inf.add1=56, inf.wr1=1
# UVM_INFO COV.sv(31) @ 155: uvm_test_top.env.cov [SEQ] SEQUENCE TRANSACTIONS
# UVM_INFO SB.sv(42) @ 155: uvm_test_top.env.sb [SB MATCHED] DATA pkt.data0_in= 33,pkt1.data1_out= 33
# UVM_INFO SB.sv(29) @ 155: uvm_test_top.env.sb [SB] TRANSACTIONS FROM MON1
# sb data_in= 31,add=56
# UVM_INFO SB.sv(32) @ 155: uvm_test_top.env.sb [SB] TRANSACTIONS FROM MON2
# sb data_out= 33,add=60
# UVM_INFO DRV.sv(39) @ 160: uvm_test_top.env.agent1.drv [DRV] DRV TRANSACTION TO DUT
# UVM_INFO SEQ.sv(46) @ 160: uvm_test_top.env.agent1.seqr1@@seq [SEQ] SEQUENCE TRANSACTIONS
# UVM_INFO MON1.sv(31) @ 165: uvm_test_top.env.agent1.mon1 [MON1] MON1 TRANSACTIONS
# UVM_INFO MON1.sv(33) @ 165: uvm_test_top.env.agent1.mon1 [MON] MON TRANSACTIONS
# UVM_INFO MON2.sv(32) @ 165: uvm_test_top.env.agent2.mon2 [MON2] MON2 TRANSACTIONS
# UVM_INFO MON2.sv(35) @ 165: uvm_test_top.env.agent2.mon2 [MON] MON TRANSACTIONS
# -------------------------------------------------------------------------------------
# Name                           Type           Size  Value                            
# -------------------------------------------------------------------------------------
# pkt                            dram_seq_item  -     @840                             
#   begin_time                   time           64    165                              
#   end_time                     time           64    160                              
#   depth                        int            32    'd2                              
#   parent sequence (name)       string         3     seq                              
#   parent sequence (full name)  string         33    uvm_test_top.env.agent1.seqr1.seq
#   sequencer                    string         29    uvm_test_top.env.agent1.seqr1    
# -------------------------------------------------------------------------------------
# UVM_INFO DRV.sv(27) @ 170: uvm_test_top.env.agent1.drv [DRV TRANSACTIONS] inf.data0_in= 29,inf.add0=45, inf.wr0=0
# UVM_INFO COV.sv(31) @ 175: uvm_test_top.env.cov [SEQ] SEQUENCE TRANSACTIONS
# UVM_INFO SB.sv(42) @ 175: uvm_test_top.env.sb [SB MATCHED] DATA pkt.data0_in= 31,pkt1.data1_out= 31
# UVM_INFO SB.sv(29) @ 175: uvm_test_top.env.sb [SB] TRANSACTIONS FROM MON1
# sb data_in= 31,add=56
# UVM_INFO SB.sv(32) @ 175: uvm_test_top.env.sb [SB] TRANSACTIONS FROM MON2
# sb data_out= 31,add=56
# UVM_INFO DRV.sv(39) @ 180: uvm_test_top.env.agent1.drv [DRV] DRV TRANSACTION TO DUT
# UVM_INFO MON1.sv(31) @ 185: uvm_test_top.env.agent1.mon1 [MON1] MON1 TRANSACTIONS
# UVM_INFO MON1.sv(33) @ 185: uvm_test_top.env.agent1.mon1 [MON] MON TRANSACTIONS
# UVM_INFO MON2.sv(32) @ 185: uvm_test_top.env.agent2.mon2 [MON2] MON2 TRANSACTIONS
# UVM_INFO MON2.sv(35) @ 185: uvm_test_top.env.agent2.mon2 [MON] MON TRANSACTIONS
# -------------------------------------------------------------------------------------
# Name                           Type           Size  Value                            
# -------------------------------------------------------------------------------------
# pkt                            dram_seq_item  -     @840                             
#   begin_time                   time           64    185                              
#   end_time                     time           64    180                              
#   depth                        int            32    'd2                              
#   parent sequence (name)       string         3     seq                              
#   parent sequence (full name)  string         33    uvm_test_top.env.agent1.seqr1.seq
#   sequencer                    string         29    uvm_test_top.env.agent1.seqr1    
# -------------------------------------------------------------------------------------
# UVM_INFO DRV.sv(32) @ 190: uvm_test_top.env.agent1.drv [DRV TRANSACTIONS] inf.add1=45, inf.wr1=1
# UVM_INFO COV.sv(31) @ 195: uvm_test_top.env.cov [SEQ] SEQUENCE TRANSACTIONS
# UVM_INFO SB.sv(42) @ 195: uvm_test_top.env.sb [SB MATCHED] DATA pkt.data0_in= 31,pkt1.data1_out= 31
# UVM_INFO SB.sv(29) @ 195: uvm_test_top.env.sb [SB] TRANSACTIONS FROM MON1
# sb data_in= 29,add=45
# UVM_INFO SB.sv(32) @ 195: uvm_test_top.env.sb [SB] TRANSACTIONS FROM MON2
# sb data_out= 31,add=56
# UVM_INFO DRV.sv(39) @ 200: uvm_test_top.env.agent1.drv [DRV] DRV TRANSACTION TO DUT
# UVM_INFO SEQ.sv(46) @ 200: uvm_test_top.env.agent1.seqr1@@seq [SEQ] SEQUENCE TRANSACTIONS
# UVM_INFO MON1.sv(31) @ 205: uvm_test_top.env.agent1.mon1 [MON1] MON1 TRANSACTIONS
# UVM_INFO MON1.sv(33) @ 205: uvm_test_top.env.agent1.mon1 [MON] MON TRANSACTIONS
# UVM_INFO MON2.sv(32) @ 205: uvm_test_top.env.agent2.mon2 [MON2] MON2 TRANSACTIONS
# UVM_INFO MON2.sv(35) @ 205: uvm_test_top.env.agent2.mon2 [MON] MON TRANSACTIONS
# -------------------------------------------------------------------------------------
# Name                           Type           Size  Value                            
# -------------------------------------------------------------------------------------
# pkt                            dram_seq_item  -     @840                             
#   begin_time                   time           64    205                              
#   end_time                     time           64    200                              
#   depth                        int            32    'd2                              
#   parent sequence (name)       string         3     seq                              
#   parent sequence (full name)  string         33    uvm_test_top.env.agent1.seqr1.seq
#   sequencer                    string         29    uvm_test_top.env.agent1.seqr1    
# -------------------------------------------------------------------------------------
# UVM_INFO DRV.sv(27) @ 210: uvm_test_top.env.agent1.drv [DRV TRANSACTIONS] inf.data0_in=152,inf.add0=24, inf.wr0=0
# UVM_INFO COV.sv(31) @ 215: uvm_test_top.env.cov [SEQ] SEQUENCE TRANSACTIONS
# UVM_INFO SB.sv(42) @ 215: uvm_test_top.env.sb [SB MATCHED] DATA pkt.data0_in= 29,pkt1.data1_out= 29
# UVM_INFO SB.sv(29) @ 215: uvm_test_top.env.sb [SB] TRANSACTIONS FROM MON1
# sb data_in= 29,add=45
# UVM_INFO SB.sv(32) @ 215: uvm_test_top.env.sb [SB] TRANSACTIONS FROM MON2
# sb data_out= 29,add=45
# UVM_INFO DRV.sv(39) @ 220: uvm_test_top.env.agent1.drv [DRV] DRV TRANSACTION TO DUT
# UVM_INFO MON1.sv(31) @ 225: uvm_test_top.env.agent1.mon1 [MON1] MON1 TRANSACTIONS
# UVM_INFO MON1.sv(33) @ 225: uvm_test_top.env.agent1.mon1 [MON] MON TRANSACTIONS
# UVM_INFO MON2.sv(32) @ 225: uvm_test_top.env.agent2.mon2 [MON2] MON2 TRANSACTIONS
# UVM_INFO MON2.sv(35) @ 225: uvm_test_top.env.agent2.mon2 [MON] MON TRANSACTIONS
# -------------------------------------------------------------------------------------
# Name                           Type           Size  Value                            
# -------------------------------------------------------------------------------------
# pkt                            dram_seq_item  -     @840                             
#   begin_time                   time           64    225                              
#   end_time                     time           64    220                              
#   depth                        int            32    'd2                              
#   parent sequence (name)       string         3     seq                              
#   parent sequence (full name)  string         33    uvm_test_top.env.agent1.seqr1.seq
#   sequencer                    string         29    uvm_test_top.env.agent1.seqr1    
# -------------------------------------------------------------------------------------
# UVM_INFO DRV.sv(32) @ 230: uvm_test_top.env.agent1.drv [DRV TRANSACTIONS] inf.add1=24, inf.wr1=1
# UVM_INFO COV.sv(31) @ 235: uvm_test_top.env.cov [SEQ] SEQUENCE TRANSACTIONS
# UVM_INFO SB.sv(42) @ 235: uvm_test_top.env.sb [SB MATCHED] DATA pkt.data0_in= 29,pkt1.data1_out= 29
# UVM_INFO SB.sv(29) @ 235: uvm_test_top.env.sb [SB] TRANSACTIONS FROM MON1
# sb data_in=152,add=24
# UVM_INFO SB.sv(32) @ 235: uvm_test_top.env.sb [SB] TRANSACTIONS FROM MON2
# sb data_out= 29,add=45
# UVM_INFO DRV.sv(39) @ 240: uvm_test_top.env.agent1.drv [DRV] DRV TRANSACTION TO DUT
# UVM_INFO SEQ.sv(46) @ 240: uvm_test_top.env.agent1.seqr1@@seq [SEQ] SEQUENCE TRANSACTIONS
# UVM_INFO MON1.sv(31) @ 245: uvm_test_top.env.agent1.mon1 [MON1] MON1 TRANSACTIONS
# UVM_INFO MON1.sv(33) @ 245: uvm_test_top.env.agent1.mon1 [MON] MON TRANSACTIONS
# UVM_INFO MON2.sv(32) @ 245: uvm_test_top.env.agent2.mon2 [MON2] MON2 TRANSACTIONS
# UVM_INFO MON2.sv(35) @ 245: uvm_test_top.env.agent2.mon2 [MON] MON TRANSACTIONS
# -------------------------------------------------------------------------------------
# Name                           Type           Size  Value                            
# -------------------------------------------------------------------------------------
# pkt                            dram_seq_item  -     @840                             
#   begin_time                   time           64    245                              
#   end_time                     time           64    240                              
#   depth                        int            32    'd2                              
#   parent sequence (name)       string         3     seq                              
#   parent sequence (full name)  string         33    uvm_test_top.env.agent1.seqr1.seq
#   sequencer                    string         29    uvm_test_top.env.agent1.seqr1    
# -------------------------------------------------------------------------------------
# UVM_INFO DRV.sv(27) @ 250: uvm_test_top.env.agent1.drv [DRV TRANSACTIONS] inf.data0_in= 21,inf.add0=53, inf.wr0=0
# UVM_INFO COV.sv(31) @ 255: uvm_test_top.env.cov [SEQ] SEQUENCE TRANSACTIONS
# UVM_INFO SB.sv(42) @ 255: uvm_test_top.env.sb [SB MATCHED] DATA pkt.data0_in=152,pkt1.data1_out=152
# UVM_INFO SB.sv(29) @ 255: uvm_test_top.env.sb [SB] TRANSACTIONS FROM MON1
# sb data_in=152,add=24
# UVM_INFO SB.sv(32) @ 255: uvm_test_top.env.sb [SB] TRANSACTIONS FROM MON2
# sb data_out=152,add=24
# UVM_INFO DRV.sv(39) @ 260: uvm_test_top.env.agent1.drv [DRV] DRV TRANSACTION TO DUT
# UVM_INFO MON1.sv(31) @ 265: uvm_test_top.env.agent1.mon1 [MON1] MON1 TRANSACTIONS
# UVM_INFO MON1.sv(33) @ 265: uvm_test_top.env.agent1.mon1 [MON] MON TRANSACTIONS
# UVM_INFO MON2.sv(32) @ 265: uvm_test_top.env.agent2.mon2 [MON2] MON2 TRANSACTIONS
# UVM_INFO MON2.sv(35) @ 265: uvm_test_top.env.agent2.mon2 [MON] MON TRANSACTIONS
# -------------------------------------------------------------------------------------
# Name                           Type           Size  Value                            
# -------------------------------------------------------------------------------------
# pkt                            dram_seq_item  -     @840                             
#   begin_time                   time           64    265                              
#   end_time                     time           64    260                              
#   depth                        int            32    'd2                              
#   parent sequence (name)       string         3     seq                              
#   parent sequence (full name)  string         33    uvm_test_top.env.agent1.seqr1.seq
#   sequencer                    string         29    uvm_test_top.env.agent1.seqr1    
# -------------------------------------------------------------------------------------
# UVM_INFO DRV.sv(32) @ 270: uvm_test_top.env.agent1.drv [DRV TRANSACTIONS] inf.add1=53, inf.wr1=1
# UVM_INFO COV.sv(31) @ 275: uvm_test_top.env.cov [SEQ] SEQUENCE TRANSACTIONS
# UVM_INFO SB.sv(42) @ 275: uvm_test_top.env.sb [SB MATCHED] DATA pkt.data0_in=152,pkt1.data1_out=152
# UVM_INFO SB.sv(29) @ 275: uvm_test_top.env.sb [SB] TRANSACTIONS FROM MON1
# sb data_in= 21,add=53
# UVM_INFO SB.sv(32) @ 275: uvm_test_top.env.sb [SB] TRANSACTIONS FROM MON2
# sb data_out=152,add=24
# UVM_INFO DRV.sv(39) @ 280: uvm_test_top.env.agent1.drv [DRV] DRV TRANSACTION TO DUT
# UVM_INFO SEQ.sv(46) @ 280: uvm_test_top.env.agent1.seqr1@@seq [SEQ] SEQUENCE TRANSACTIONS
# UVM_INFO MON1.sv(31) @ 285: uvm_test_top.env.agent1.mon1 [MON1] MON1 TRANSACTIONS
# UVM_INFO MON1.sv(33) @ 285: uvm_test_top.env.agent1.mon1 [MON] MON TRANSACTIONS
# UVM_INFO MON2.sv(32) @ 285: uvm_test_top.env.agent2.mon2 [MON2] MON2 TRANSACTIONS
# UVM_INFO MON2.sv(35) @ 285: uvm_test_top.env.agent2.mon2 [MON] MON TRANSACTIONS
# -------------------------------------------------------------------------------------
# Name                           Type           Size  Value                            
# -------------------------------------------------------------------------------------
# pkt                            dram_seq_item  -     @840                             
#   begin_time                   time           64    285                              
#   end_time                     time           64    280                              
#   depth                        int            32    'd2                              
#   parent sequence (name)       string         3     seq                              
#   parent sequence (full name)  string         33    uvm_test_top.env.agent1.seqr1.seq
#   sequencer                    string         29    uvm_test_top.env.agent1.seqr1    
# -------------------------------------------------------------------------------------
# UVM_INFO DRV.sv(27) @ 290: uvm_test_top.env.agent1.drv [DRV TRANSACTIONS] inf.data0_in=160,inf.add0=37, inf.wr0=0
